ID Caso;Código DANE de Municipio;Municipio;Departamento;Año;Mes;Día;ID Persona;Sexo;Etnia;Ocupación;Calidad de la Víctima o la Baja;Tipo de Población Vulnerable;Militante Político;Fuerza o Grupo Armado Organizado al que Pertenece el Combatiente;Descripción Fuerza o Grupo Armado Organizado al que Pertenece el Combatiente;Situación Actual de la Víctima;Edad;Latitud;Longitud
359696;05001;MEDELLIN;ANTIOQUIA;0000;00;00;401130;MUJER;;SIN INFORMACIÓN;CIVIL;;;;;VIVA;;6,246715564;-75,58171333
359697;00000;SIN INFORMACION;SIN INFORMACION;0000;00;00;401131;MUJER;;SIN INFORMACIÓN;CIVIL;;;;;MUERTA;ADOLESCENCIA (12-17 AÑOS);4;-72
359698;00000;SIN INFORMACION;SIN INFORMACION;0000;00;00;401132;HOMBRE;;SIN INFORMACIÓN;CIVIL;;;;;MUERTA;ADULTEZ (29-59 AÑOS);4;-72
359699;00000;SIN INFORMACION;SIN INFORMACION;0000;00;00;401133;MUJER;;SIN INFORMACIÓN;CIVIL;;;;;VIVA;;4;-72
359700;68377;LA BELLEZA;SANTANDER;0000;00;00;401134;MUJER;;SIN INFORMACIÓN;CIVIL;;;;;VIVA;;5,936441133;-74,01216241
359701;73168;CHAPARRAL;TOLIMA;0000;00;00;401135;MUJER;;SIN INFORMACIÓN;CIVIL;;;;;VIVA;;3,723068376;-75,48074305
359702;00000;SIN INFORMACION;SIN INFORMACION;0000;00;00;401136;MUJER;;SIN INFORMACIÓN;CIVIL;;;;;VIVA;;4;-72
359703;73226;CUNDAY;TOLIMA;0000;00;00;401137;MUJER;;PERSONAL DE SALUD;CIVIL;;;;;VIVA;;4,059259258;-74,69222722
359704;00000;SIN INFORMACION;SIN INFORMACION;0000;00;00;401138;MUJER;;SIN INFORMACIÓN;CIVIL;;;;;VIVA;;4;-72
359705;13268;EL PEÑON;BOLIVAR;0000;00;00;401139;MUJER;;SIN INFORMACIÓN;CIVIL;;;;;DESCONOCIDA;;8,988219476;-73,9494155
359706;76109;BUENAVENTURA;VALLE DEL CAUCA;0000;00;00;401140;MUJER;;SIN INFORMACIÓN;CIVIL;;;;;DESCONOCIDA;;3,875802437;-77,0117402
359707;27430;MEDIO BAUDO;CHOCO;0000;00;00;401141;MUJER;NEGRO(A), MULATO(A), AFRODESCENDIENTE, AFROCOLOMBIANO(A);SIN INFORMACIÓN;CIVIL;;;;;DESCONOCIDA;;5,193563954;-76,94960604
359708;13810;TIQUISIO;BOLIVAR;0000;00;00;401142;MUJER;;SIN INFORMACIÓN;CIVIL;;;;;DESCONOCIDA;;8,557741117;-74,26354688
359709;68615;RIONEGRO;SANTANDER;0000;00;00;401143;MUJER;;SIN INFORMACIÓN;CIVIL;;;;;MUERTA;;7,607273437;-73,57613564
359712;81794;TAME;ARAUCA;0000;00;00;401146;MUJER;;SIN INFORMACIÓN;CIVIL;;;;;VIVA;;6,449379486;-71,75861086
359723;27615;RIOSUCIO;CHOCO;0000;00;00;401157;MUJER;;EMPLEADO;CIVIL;;;;;VIVA;;7,436631552;-77,11310959
359725;25885;YACOPI;CUNDINAMARCA;0000;00;00;401158;MUJER;;SIN INFORMACIÓN;CIVIL;;;;;VIVA;;5,459290341;-74,33802435
359725;25885;YACOPI;CUNDINAMARCA;0000;00;00;401159;MUJER;;SIN INFORMACIÓN;CIVIL;;;;;VIVA;;5,459290341;-74,33802435
359726;50001;VILLAVICENCIO;META;0000;00;00;401160;MUJER;;SIN INFORMACIÓN;CIVIL;;;;;VIVA;;4,1238615;-73,62709204
359726;50001;VILLAVICENCIO;META;0000;00;00;401161;MUJER;;SIN INFORMACIÓN;CIVIL;;;;;VIVA;;4,1238615;-73,62709204
359732;73283;FRESNO;TOLIMA;0000;00;00;401166;MUJER;;SIN INFORMACIÓN;CIVIL;;;;;VIVA;;5,153638261;-75,03562715
359733;05895;ZARAGOZA;ANTIOQUIA;0000;00;00;401167;MUJER;;SIN INFORMACIÓN;CIVIL;;;;;VIVA;ADOLESCENCIA (12-17 AÑOS);7,488583075;-74,86707471
359754;05313;GRANADA;ANTIOQUIA;0000;00;00;401188;MUJER;;SIN INFORMACIÓN;CIVIL;;;;;VIVA;;6,142896667;-75,18444508
359755;05313;GRANADA;ANTIOQUIA;0000;00;00;401189;MUJER;;SIN INFORMACIÓN;CIVIL;;;;;MUERTA;;6,142896667;-75,18444508
359756;05679;SANTA BARBARA;ANTIOQUIA;0000;00;00;401190;MUJER;;SIN INFORMACIÓN;CIVIL;;;;;VIVA;;5,875533398;-75,56735178
359757;00000;SIN INFORMACION;SIN INFORMACION;0000;00;00;401191;MUJER;;SIN INFORMACIÓN;CIVIL;DESVINCULADO;;;;VIVA;;4;-72
359758;05490;NECOCLI;ANTIOQUIA;0000;00;00;401192;MUJER;;SIN INFORMACIÓN;CIVIL;;;;;VIVA;;8,328099233;-76,74708198
359758;05490;NECOCLI;ANTIOQUIA;0000;00;00;401193;MUJER;;SIN INFORMACIÓN;CIVIL;;;;;VIVA;;8,328099233;-76,74708198
359762;00000;SIN INFORMACION;SIN INFORMACION;0000;00;00;762803;HOMBRE;;TRABAJADOR DE FINCA;CIVIL;;;;;VIVA;ADULTEZ (29-59 AÑOS);4;-72
359766;05051;ARBOLETES;ANTIOQUIA;0000;00;00;401200;MUJER;;SIN INFORMACIÓN;CIVIL;;;;;VIVA;;8,611245797;-76,28264752
359767;47001;SANTA MARTA;MAGDALENA;0000;00;00;401201;MUJER;;SIN INFORMACIÓN;CIVIL;;;;;VIVA;INFANCIA (6-11 AÑOS);11,2294335;-74,19089412
359770;00000;SIN INFORMACION;SIN INFORMACION;0000;00;00;401204;MUJER;;SIN INFORMACIÓN;CIVIL;;;;;MUERTA;;4;-72
359771;54810;TIBU;NORTE DE SANTANDER;0000;07;16;401205;MUJER;;ESTUDIANTE;CIVIL;;;;;VIVA;;8,639548853;-72,73591863
359772;54810;TIBU;NORTE DE SANTANDER;0000;07;16;401206;MUJER;;ESTUDIANTE;CIVIL;;;;;VIVA;;8,639548853;-72,73591863
359773;20178;CHIRIGUANA;CESAR;0000;00;00;401207;MUJER;;SIN INFORMACIÓN;CIVIL;;;;;DESCONOCIDA;;9,361189611;-73,60014444
359774;00000;SIN INFORMACION;SIN INFORMACION;0000;00;00;401208;MUJER;;SIN INFORMACIÓN;CIVIL;;;;;DESCONOCIDA;;4;-72
359775;00000;SIN INFORMACION;SIN INFORMACION;0000;00;00;401209;MUJER;;SIN INFORMACIÓN;CIVIL;;;;;DESCONOCIDA;;4;-72
359776;00000;SIN INFORMACION;SIN INFORMACION;0000;00;00;401210;MUJER;;SIN INFORMACIÓN;CIVIL;;;;;DESCONOCIDA;;4;-72
359777;25001;AGUA DE DIOS;CUNDINAMARCA;0000;00;00;401211;MUJER;;SIN INFORMACIÓN;CIVIL;;;;;DESCONOCIDA;;4,375312017;-74,66921778
359778;76001;CALI;VALLE DEL CAUCA;0000;00;00;401212;SIN INFORMACION;;SIN INFORMACIÓN;CIVIL;;;;;DESCONOCIDA;;3,414414305;-76,52156515
