ID_Caso,DANE,Municipio,Departamento,Anho,Mes,Dia,ID_Persona,Sexo,Ocupacion,Tipo_Victima,Estado,Edad,Latitud,Longitud
364332,52621,ROBERTO PAYAN,NARIÑO,2000,6,15,405766,MUJER,SIN INFORMACIÓN,CIVIL,DESCONOCIDA,ADOLESCENCIA (12-17 AÑOS),1.6977447677,-78.2456625248
364334,00000,SIN INFORMACION,SIN INFORMACION,2000,6,15,405768,MUJER,SIN INFORMACIÓN,CIVIL,DESCONOCIDA,ADOLESCENCIA (12-17 AÑOS),4.0,-72.0
364335,05002,ABEJORRAL,ANTIOQUIA,2000,6,15,405769,MUJER,SIN INFORMACIÓN,CIVIL,DESCONOCIDA,ADULTEZ (29-59 AÑOS),5.7893044854,-75.4287380971
364336,47001,SANTA MARTA,MAGDALENA,2000,6,15,405770,HOMBRE,SIN INFORMACIÓN,CIVIL,DESCONOCIDA,ADULTEZ (29-59 AÑOS),11.2294335041,-74.1908941206
364337,18753,SAN VICENTE DEL CAGUAN,CAQUETA,2000,6,15,405771,MUJER,SIN INFORMACIÓN,CIVIL,DESCONOCIDA,JUVENTUD (18-28 AÑOS),2.1197861313,-74.7673405755
364338,18592,PUERTO RICO,CAQUETA,2000,6,15,405772,MUJER,SIN INFORMACIÓN,CIVIL,DESCONOCIDA,JUVENTUD (18-28 AÑOS),1.9089350729,-75.1574887391
364339,05887,YARUMAL,ANTIOQUIA,2000,6,16,405773,MUJER,SIN INFORMACIÓN,CIVIL,VIVA,,6.9638723516,-75.4188331376
364340,47555,PLATO,MAGDALENA,2000,6,17,405774,MUJER,SIN INFORMACIÓN,CIVIL,DESCONOCIDA,ADOLESCENCIA (12-17 AÑOS),9.7967698684,-74.7846828554
364341,47555,PLATO,MAGDALENA,2000,6,17,405775,MUJER,SIN INFORMACIÓN,CIVIL,DESCONOCIDA,JUVENTUD (18-28 AÑOS),9.7967698684,-74.7846828554
364342,19450,MERCADERES,CAUCA,2000,6,18,405776,MUJER,SIN INFORMACIÓN,CIVIL,DESCONOCIDA,ADOLESCENCIA (12-17 AÑOS),1.7757724953,-77.1658443228
364343,13744,SIMITI,BOLIVAR,2000,6,18,405777,MUJER,SIN INFORMACIÓN,CIVIL,DESCONOCIDA,,7.9541763755,-73.9473119566
